Invoice Number,Date Time,Customer ID,Product ID,Quantity,Price per Unit,Return Status,Sales Channel,Total Sales,Customer Age Group,Region,Product Category
10033,06/01/2021 08:49,24,6,1,53.24,Not Returned,In-Store,53.24,18-25,South,Accessories
10034,04/01/2021 02:45,7,24,4,40.19,Not Returned,On line,160.76,,North,Accessories
10035,09/01/2021 01:21,12,43,5,20.92,Not Returned,Online,104.6,36-45,West,Clothing
10036,08/01/2021 18:24,66,27,5,50.56,Not Returned,In-Store,252.8,46-55,South,Footwear
10037,06/01/2021 12:55,51,7,2,98.22,Not Returned,On line,196.44,46-55,East,Footwear
10038,07/01/2021 18:48,87,34,4,88.8,Not Returned,Online,355.2,18-25,South,Footwear
10039,02/01/2021 17:41,59,47,3,21.25,Not Returned,Online,63.75,46-55,North,Footwear
10040,10/01/2021 22:26,69,29,4,27.81,Not Returned,In-Store,111.24,46-55,South,Foot wear
10041,08/01/2021 01:25,70,23,1,43.17,Not Returned,Online,43.17,46-55,North,Clothing
1004,03/01/2021 14:35,44,2,7,80.42,Not Returned,Online,562.94,26-35,East,Clothing
10042,10/01/2021 15:11,30,34,1,46.46,Not Returned,Online,46.46,46-55,East,Footwear
10043,11/01/2021 03:41,36,32,6,95.68,Not Returned,Online,574.08,56+,East,Clothing
10044,05/01/2021 12:47,1,11,4,22.03,Not Returned,Online,88.12,46-55,West,Clothing
10045,08/01/2021 03:24,96,49,6,63.52,Returned,Online,381.12,36-45,North,Footwear
10046,07/01/2021 08:40,14,17,2,67.26,Not Returned,In-Store,134.52,26-35,East,Accessories
10047,09/01/2021 21:43,3,6,4,29.71,Not Returned,Online,118.84,36-45,North,Accessories
10048,03/01/2021 14:19,5,22,5,97.04,Returned,Online,485.2,56+,West,Clothing
10049,10/01/2021 15:52,46,5,2,46.08,Returned,Online,92.16,18-25,West,Clothing
10050,05/01/2021 23:29,78,18,6,43.54,Not Returned,Online,261.24,46-55,South,Footwear
10051,11/01/2021 08:32,13,24,5,27.78,Not Returned,Online,138.9,56+,North,Accessories
10052,07/01/2021 23:56,22,3,6,45.26,Not Returned,Online,271.56,56+,North,Footwear
1005,04/01/2021 04:28,14,3,3,67.28,Not Returned,In-Store,201.84,26-35,East,Footwear
10053,07/01/2021 20:51,56,18,1,34.78,Not Returned,Online,34.78,18-25,East,Footwear
10054,08/01/2021 20:41,51,48,6,45.23,Not Returned,Online,271.38,46-55,East,Footwear
10055,08/01/2021 18:25,54,5,4,47.55,Not Returned,Online,190.2,56+,East,Clothing
10056,03/01/2021 08:37,25,46,6,68.07,Not Returned,Online,408.42,18-25,East,Clothing
10057,06/01/2021 09:06,67,9,7,86.95,Not Returned,Online,608.65,26-35,South,Foot wear
10058,08/01/2021 23:56,48,19,3,25.72,Not Returned,In Store,77.16,56+,West,Foot wear
10059,03/01/2021 22:53,74,45,1,69.62,Not Returned,Online,69.62,26-35,West,Footwear
10060,05/01/2021 10:31,79,16,6,28.98,Not Returned,In-Store,173.88,46-55,South,Footwear
10061,04/01/2021 18:08,81,48,1,64.09,Not Returned,Online,64.09,56+,West,Footwear
1006,10/01/2021 18:39,63,20,2,25.38,Not Returned,In Store,50.76,56+,East,Clothing
10062,03/01/2021 14:54,81,36,2,97.35,Not Returned,Online,194.7,56+,West,Clothing
10063,06/01/2021 02:05,13,42,6,50.23,Not Returned,On line,301.38,56+,North,Foot wear
10065,11/01/2021 08:33,62,13,6,70.61,Not Returned,In-Store,423.66,46-55,East,Footwear
10066,07/01/2021 06:24,3,10,7,33.65,Not Returned,Online,235.55,36-45,North,Footwear
10068,08/01/2021 17:32,50,48,6,23.34,Not Returned,Online,140.04,46-55,South,Footwear
10069,10/01/2021 04:55,4,30,7,61.96,Not Returned,Online,433.72,56+,East,Clothing
10070,06/01/2021 21:47,84,18,7,85.19,Not Returned,In Store,596.33,56+,West,Footwear
10071,02/01/2021 03:35,54,15,7,65.39,Not Returned,In-Store,457.73,56+,East,Footwear
10072,07/01/2021 00:39,14,2,3,48.23,Not Returned,Online,144.69,26-35,East,Clothing
10073,11/01/2021 05:00,6,30,4,56.33,Not Returned,Online,225.32,26-35,South,Clothing
1007,06/01/2021 13:32,42,46,7,96.37,Not Returned,Online,674.59,18-25,East,Clothing
10075,11/01/2021 00:13,3,5,5,88.52,Not Returned,Online,442.6,36-45,North,Clothing
10079,06/01/2021 07:54,18,33,7,82.94,Not Returned,On line,580.58,56+,East,Accessories
10080,08/01/2021 23:02,12,49,2,35.38,Returned,In-Store,70.76,36-45,West,Footwear
10081,01/01/2021 17:26,85,21,2,89.21,Not Returned,In-Store,178.42,18-25,North,Clothing
10082,09/01/2021 11:10,82,10,4,77.23,Not Returned,In-Store,308.92,18-25,South,Footwear
10083,07/01/2021 03:11,81,19,2,33.9,Not Returned,In-Store,67.8,56+,West,Foot wear
10084,01/01/2021 07:25,42,19,6,63.25,Not Returned,Online,379.5,18-25,East,Foot wear
1008,06/01/2021 20:22,94,49,4,79.09,Not Returned,In-Store,316.36,36-45,West,Footwear
10085,03/01/2021 14:22,52,18,6,47.49,Not Returned,In-Store,284.94,46-55,East,Footwear
10086,04/01/2021 14:29,63,35,4,98.02,Not Returned,Online,392.08,56+,East,Footwear
10087,04/01/2021 00:37,27,25,6,86.34,Returned,In-Store,518.04,36-45,North,Clothing
10088,10/01/2021 10:05,43,8,1,88.76,Not Returned,Online,88.76,46-55,West,Accessories
10089,09/01/2021 05:16,49,16,4,83.31,Not Returned,Online,333.24,26-35,West,Footwear
10090,10/01/2021 04:52,38,2,5,95.63,Not Returned,Online,478.15,56+,South,Clothing
10091,03/01/2021 10:55,43,28,3,27.95,Not Returned,Online,83.85,46-55,West,Footwear
10092,02/01/2021 17:28,55,29,7,58.61,Not Returned,Online,410.27,36-45,East,Foot wear
10093,10/01/2021 04:42,81,24,3,96.53,Returned,In-Store,289.59,56+,West,Accessories
10094,04/01/2021 15:09,53,34,3,26.67,Not Returned,In-Store,80.01,46-55,East,Footwear
10095,08/01/2021 04:42,26,27,1,25.42,Not Returned,Online,25.42,36-45,East,Footwear
10096,07/01/2021 02:49,80,3,2,24.48,Not Returned,On line,48.96,46-55,East,Footwear
10097,06/01/2021 00:07,52,35,2,52.89,Not Returned,In-Store,105.78,46-55,East,Footwear
10098,05/01/2021 04:18,73,25,1,41.21,Not Returned,Online,41.21,56+,West,Clothing
10099,08/01/2021 19:24,10,48,3,74.54,Not Returned,Online,223.62,56+,East,Footwear
10100,10/01/2021 13:48,2,8,5,81.36,Not Returned,In-Store,406.8,56+,East,Accessories
10101,02/01/2021 03:34,11,14,3,60.86,Not Returned,In-Store,182.58,46-55,South,Clothing
10102,08/01/2021 04:18,60,25,1,54.66,Not Returned,Online,54.66,26-35,West,Clothing
1010,01/01/2021 13:40,16,24,6,41.04,Not Returned,Online,246.24,26-35,West,Accessories
10103,09/01/2021 15:40,91,27,6,85.43,Not Returned,In-Store,512.58,36-45,East,Footwear
10104,07/01/2021 12:38,17,29,1,23.74,Not Returned,Online,23.74,46-55,South,Foot wear
10107,01/01/2021 15:57,73,7,7,66.06,Not Returned,In-Store,462.42,56+,West,Footwear
10109,02/01/2021 03:58,55,21,1,41.16,Not Returned,Online,41.16,36-45,East,Clothing
10112,06/01/2021 18:07,9,33,5,77.3,Not Returned,In-Store,386.5,36-45,East,Accessories
10113,04/01/2021 16:03,66,1,1,28.42,Returned,In-Store,28.42,46-55,South,Accessories
10114,09/01/2021 13:48,21,9,3,95.21,Not Returned,Online,285.63,26-35,East,Foot wear
10115,08/01/2021 02:39,69,19,3,41.22,Returned,In-Store,123.66,46-55,South,Foot wear
10116,04/01/2021 06:36,94,19,4,32.06,Not Returned,In-Store,128.24,36-45,West,Foot wear
10117,08/01/2021 03:42,2,26,4,71.8,Not Returned,In-Store,287.2,56+,East,Footwear
10118,11/01/2021 06:32,43,12,6,60.61,Not Returned,In-Store,363.66,46-55,West,Clothing
10119,05/01/2021 17:33,62,30,4,77.58,Not Returned,Online,310.32,46-55,East,Clothing
10120,03/01/2021 01:53,44,30,6,85.2,Not Returned,Online,511.2,26-35,East,Clothing
10121,03/01/2021 15:14,51,47,1,98.82,Not Returned,In-Store,98.82,46-55,East,Footwear
10122,07/01/2021 10:18,34,41,4,52.6,Not Returned,In-Store,210.4,18-25,North,Accessories
10123,06/01/2021 11:19,78,6,4,53.08,Not Returned,In-Store,212.32,46-55,South,Accessories
10124,03/01/2021 15:49,49,36,3,31.5,Not Returned,Online,94.5,26-35,West,Clothing
10125,01/01/2021 13:54,99,16,1,97.14,Not Returned,Online,97.14,26-35,South,Footwear
10126,07/01/2021 11:21,37,42,3,85.78,Not Returned,On line,257.34,36-45,South,Foot wear
1012,05/01/2021 22:27,30,7,6,41.27,Not Returned,On line,247.62,46-55,East,Footwear
10128,10/01/2021 00:23,2,46,5,97.66,Not Returned,In-Store,488.3,56+,East,Clothing
10129,03/01/2021 09:48,96,4,4,78.55,Not Returned,Online,314.2,36-45,North,Clothing
10132,02/01/2021 21:29,5,48,2,92.08,Not Returned,In-Store,184.16,56+,West,Footwear
10133,10/01/2021 09:49,52,46,1,51.04,Not Returned,Online,51.04,46-55,East,Clothing
10134,06/01/2021 19:27,16,5,1,85.69,Not Returned,Online,85.69,26-35,West,Clothing
10136,05/01/2021 13:07,99,11,6,21.92,Not Returned,In-Store,131.52,26-35,South,Clothing
10137,10/01/2021 20:51,1,34,7,72.54,Not Returned,Online,507.78,46-55,West,Footwear
10138,04/01/2021 18:19,86,19,6,85.45,Not Returned,In-Store,512.7,18-25,East,Foot wear
10139,04/01/2021 17:53,68,19,5,20.52,Not Returned,In-Store,102.6,26-35,North,Foot wear
10140,01/01/2021 16:27,72,49,6,91.39,Not Returned,Online,548.34,56+,South,Footwear
10141,05/01/2021 11:11,46,37,1,70.63,Not Returned,In-Store,70.63,18-25,West,Footwear
10142,10/01/2021 05:48,34,3,4,82.1,Not Returned,Online,328.4,18-25,North,Footwear
10143,10/01/2021 03:13,95,24,2,33.22,Not Returned,Online,66.44,18-25,North,Accessories
10144,04/01/2021 07:38,12,36,4,25.2,Not Returned,In-Store,100.8,36-45,West,Clothing
1014,05/01/2021 08:46,70,45,6,45.97,Not Returned,Online,275.82,46-55,North,Footwear
10145,06/01/2021 08:06,51,3,5,81.23,Not Returned,In-Store,406.15,46-55,East,Footwear
10147,03/01/2021 23:06,66,33,7,63.77,Not Returned,Online,446.39,46-55,South,Accessories
10148,11/01/2021 06:45,80,43,5,22.43,Not Returned,In-Store,112.15,46-55,East,Clothing
10149,03/01/2021 00:07,67,22,2,69.61,Not Returned,Online,139.22,26-35,South,Clothing
10150,07/01/2021 06:04,81,20,1,74.27,Not Returned,In-Store,74.27,56+,West,Clothing
10152,06/01/2021 22:30,13,21,7,60.19,Not Returned,In-Store,421.33,56+,North,Clothing
1015,10/01/2021 09:52,96,3,6,50.49,Not Returned,In-Store,302.94,36-45,North,Footwear
10153,06/01/2021 19:52,3,28,5,85.08,Not Returned,Online,425.4,36-45,North,Footwear
10154,08/01/2021 16:16,76,16,1,36.9,Not Returned,In-Store,36.9,26-35,West,Footwear
10156,09/01/2021 14:32,46,37,4,22.51,Not Returned,Online,90.04,18-25,West,Footwear
10157,03/01/2021 17:49,60,3,7,99.7,Not Returned,Online,697.9,26-35,West,Footwear
10158,08/01/2021 18:24,2,45,6,65.75,Not Returned,In-Store,394.5,56+,East,Footwear
10159,10/01/2021 04:51,55,23,5,52.14,Not Returned,Online,260.7,36-45,East,Clothing
10161,01/01/2021 01:14,69,4,6,56.14,Not Returned,In Store,336.84,46-55,South,Clothing
10162,02/01/2021 01:07,6,34,1,51.98,Not Returned,Online,51.98,26-35,South,Footwear
10163,08/01/2021 17:31,58,10,4,83.23,Not Returned,In-Store,332.92,26-35,West,Footwear
10164,10/01/2021 17:21,68,16,3,56.42,Not Returned,Online,169.26,26-35,North,Footwear
10165,06/01/2021 12:45,89,44,6,75.99,Not Returned,Online,455.94,46-55,North,Accessories
10166,11/01/2021 01:30,70,42,7,48.92,Not Returned,In-Store,342.44,46-55,North,Foot wear
10167,05/01/2021 01:54,34,41,6,30.27,Not Returned,In-Store,181.62,18-25,North,Accessories
10168,11/01/2021 04:31,86,33,2,63.79,Not Returned,Online,127.58,18-25,East,Accessories
10169,06/01/2021 17:34,46,15,4,22.19,Returned,In-Store,88.76,18-25,West,Footwear
10170,08/01/2021 20:08,28,34,4,33.19,Not Returned,In-Store,132.76,26-35,South,Footwear
10171,04/01/2021 20:39,76,7,1,55.29,Not Returned,In-Store,55.29,26-35,West,Footwear
1017,07/01/2021 02:07,79,18,3,57.97,Not Returned,Online,173.91,46-55,South,Footwear
10172,04/01/2021 20:07,74,5,4,50.3,Not Returned,Online,201.2,26-35,West,Clothing
10173,01/01/2021 15:18,51,46,5,51.53,Not Returned,In-Store,257.65,46-55,East,Clothing
10174,11/01/2021 05:55,66,30,5,42.52,Not Returned,In-Store,212.6,46-55,South,Clothing
10175,05/01/2021 16:33,70,15,4,66.75,Not Returned,Online,267,46-55,North,Footwear
10176,06/01/2021 10:08,28,6,2,67.88,Not Returned,In-Store,135.76,26-35,South,Accessories
10177,08/01/2021 22:34,24,14,5,32.71,Not Returned,In-Store,163.55,18-25,South,Clothing
10178,05/01/2021 05:45,51,32,3,97.29,Not Returned,Online,291.87,46-55,East,Clothing
10179,06/01/2021 21:21,62,29,1,37.88,Not Returned,Online,37.88,46-55,East,Foot wear
10180,04/01/2021 21:08,98,33,6,33.22,Not Returned,In-Store,199.32,26-35,East,Accessories
10182,09/01/2021 23:46,42,28,7,65.1,Not Returned,Online,455.7,18-25,East,Footwear
10183,02/01/2021 22:24,48,36,5,80.45,Not Returned,Online,402.25,56+,West,Clothing
1018,09/01/2021 19:53,26,36,6,46.88,Not Returned,Online,281.28,36-45,East,Clothing
10185,06/01/2021 12:08,33,21,1,60.6,Not Returned,Online,60.6,46-55,East,Clothing
10186,04/01/2021 22:43,84,40,6,38.01,Not Returned,In-Store,228.06,56+,West,Accessories
10187,01/01/2021 05:32,17,22,6,86.32,Not Returned,Online,517.92,46-55,South,Clothing
10188,07/01/2021 17:24,44,20,3,99.7,Not Returned,Online,299.1,26-35,East,Clothing
10189,05/01/2021 15:35,87,10,5,88.87,Not Returned,In-Store,444.35,18-25,South,Footwear
10190,09/01/2021 02:12,59,27,3,95.55,Not Returned,In-Store,286.65,46-55,North,Footwear
10191,03/01/2021 04:18,71,45,1,32.36,Not Returned,Online,32.36,18-25,North,Footwear
10192,07/01/2021 00:47,62,32,3,33.21,Not Returned,Online,99.63,46-55,East,Clothing
1019,03/01/2021 20:33,38,32,3,66.57,Not Returned,Online,199.71,56+,South,Clothing
10193,11/01/2021 09:41,72,30,1,34.8,Not Returned,In-Store,34.8,56+,South,Clothing
10194,04/01/2021 22:30,40,41,7,31.96,Not Returned,Online,223.72,26-35,East,Accessories
10195,04/01/2021 09:51,29,5,1,79.53,Not Returned,Online,79.53,46-55,East,Clothing
10196,11/01/2021 05:48,26,4,6,83.93,Not Returned,In-Store,503.58,36-45,East,Clothing
10197,07/01/2021 00:25,7,9,6,38.97,Not Returned,Online,233.82,,North,Foot wear
10198,11/01/2021 01:16,71,4,4,33.27,Not Returned,Online,133.08,18-25,North,Clothing
10199,10/01/2021 06:13,99,47,2,21.01,Not Returned,Online,42.02,26-35,South,Footwear
10201,07/01/2021 14:00,85,43,4,80.77,Not Returned,Online,323.08,18-25,North,Clothing
1020,09/01/2021 15:53,4,22,6,48.18,Not Returned,In-Store,289.08,56+,West,Clothing
10202,02/01/2021 08:52,86,50,1,58.33,Not Returned,Online,58.33,18-25,East,Accessories
10205,03/01/2021 03:11,71,45,2,32.19,Not Returned,In-Store,64.38,18-25,North,Footwear
10209,08/01/2021 20:16,73,36,2,87.07,Not Returned,Online,174.14,56+,West,Clothing
10210,01/01/2021 01:55,95,37,6,90.36,Not Returned,Online,542.16,18-25,North,Footwear
10211,08/01/2021 18:31,88,32,4,29.29,Not Returned,Online,117.16,18-25,North,Clothing
10212,07/01/2021 10:13,63,45,7,40.48,Not Returned,On line,283.36,56+,East,Footwear
1021,09/01/2021 11:14,66,28,2,47.37,Not Returned,On line,94.74,46-55,South,Footwear
10213,02/01/2021 15:27,63,33,6,53.53,Not Returned,In-Store,321.18,56+,East,Accessories
10214,02/01/2021 15:24,72,17,5,78.92,Not Returned,Online,394.6,56+,South,Accessories
10215,11/01/2021 08:32,75,42,7,94.55,Not Returned,Online,661.85,56+,West,Foot wear
10216,09/01/2021 03:57,3,25,7,33.71,Not Returned,In-Store,235.97,36-45,North,Clothing
10217,04/01/2021 09:26,70,49,6,42,Not Returned,On line,252,46-55,North,Footwear
10219,09/01/2021 21:39,58,37,3,91.25,Not Returned,In-Store,273.75,26-35,West,Footwear
10220,06/01/2021 13:55,95,46,6,58.65,Not Returned,In-Store,351.9,18-25,North,Clothing
10221,04/01/2021 17:57,18,2,7,70.65,Not Returned,In-Store,494.55,56+,East,Clothing
10222,02/01/2021 05:51,37,41,4,63.78,Not Returned,Online,255.12,36-45,South,Accessories
1022,05/01/2021 03:59,76,28,7,25.54,Not Returned,On line,178.78,26-35,West,Footwear
10224,05/01/2021 11:54,26,10,7,40.46,Not Returned,Online,283.22,36-45,East,Footwear
10225,03/01/2021 00:42,82,3,4,85.97,Not Returned,Online,343.88,18-25,South,Footwear
10226,08/01/2021 07:02,99,42,7,95.95,Not Returned,Online,671.65,26-35,South,Foot wear
10227,02/01/2021 06:24,24,46,6,69.2,Not Returned,In-Store,415.2,18-25,South,Clothing
10228,10/01/2021 15:49,85,3,4,93.91,Not Returned,In-Store,375.64,18-25,North,Footwear
10229,09/01/2021 21:57,63,40,5,66.94,Not Returned,In-Store,334.7,56+,East,Accessories
10230,10/01/2021 10:07,22,16,3,90.88,Not Returned,On line,272.64,56+,North,Footwear
10231,11/01/2021 04:57,48,17,3,47.47,Not Returned,Online,142.41,56+,West,Accessories
10232,06/01/2021 04:44,20,18,3,92.43,Not Returned,In-Store,277.29,46-55,North,Footwear
10233,03/01/2021 10:58,74,40,1,81.8,Not Returned,Online,81.8,26-35,West,Accessories
10234,02/01/2021 17:16,53,32,2,94.36,Not Returned,Online,188.72,46-55,East,Clothing
1023,05/01/2021 08:31,64,49,5,36.51,Not Returned,Online,182.55,26-35,South,Footwear
10236,06/01/2021 14:08,91,9,6,88.56,Not Returned,In-Store,531.36,36-45,East,Foot wear
10237,10/01/2021 11:53,58,13,5,29.01,Not Returned,In-Store,145.05,26-35,West,Footwear
10238,06/01/2021 21:08,22,3,2,71.77,Returned,In-Store,143.54,56+,North,Footwear
10239,02/01/2021 03:12,25,13,2,38.12,Not Returned,Online,76.24,18-25,East,Footwear
10240,08/01/2021 21:06,55,19,2,20.28,Not Returned,Online,40.56,36-45,East,Foot wear
10241,03/01/2021 17:06,36,14,7,34.89,Not Returned,Online,244.23,56+,East,Clothing
10242,04/01/2021 16:17,86,39,5,20.67,Not Returned,In-Store,103.35,18-25,East,Accessories
10243,08/01/2021 08:02,32,39,2,32.28,Not Returned,Online,64.56,46-55,East,Accessories
1024,08/01/2021 21:38,49,34,7,99.51,Not Returned,Online,696.57,26-35,West,Footwear
10244,01/01/2021 06:38,11,21,7,29.87,Not Returned,On line,209.09,46-55,South,Clothing
10245,07/01/2021 04:34,2,9,6,33.87,Not Returned,Online,203.22,56+,East,Foot wear
10246,08/01/2021 22:25,75,14,6,78.21,Not Returned,Online,469.26,56+,West,Clothing
10247,07/01/2021 23:26,78,47,2,62.55,Not Returned,In-Store,125.1,46-55,South,Footwear
10248,05/01/2021 19:46,80,17,5,45.25,Not Returned,In-Store,226.25,46-55,East,Accessories
10249,04/01/2021 16:30,10,9,6,72.83,Not Returned,Online,436.98,56+,East,Foot wear
10250,06/01/2021 01:32,79,37,6,72.62,Not Returned,In-Store,435.72,46-55,South,Footwear
10251,08/01/2021 02:02,91,43,4,44.84,Not Returned,Online,179.36,36-45,East,Clothing
10252,02/01/2021 23:45,72,29,6,90.4,Not Returned,Online,542.4,56+,South,Foot wear
10253,01/01/2021 11:35,80,29,6,50.52,Not Returned,In-Store,303.12,46-55,East,Foot wear
1025,05/01/2021 17:43,50,39,1,81.98,Not Returned,Online,81.98,46-55,South,Accessories
10254,01/01/2021 13:35,56,32,6,24.29,Not Returned,In-Store,145.74,18-25,East,Clothing
10255,07/01/2021 20:14,18,20,6,79.53,Not Returned,In-Store,477.18,56+,East,Clothing
10256,03/01/2021 13:59,47,8,7,38.96,Not Returned,In-Store,272.72,26-35,East,Accessories
10257,08/01/2021 22:47,59,47,5,83.97,Not Returned,In-Store,419.85,46-55,North,Footwear
10258,04/01/2021 13:44,91,23,5,39.52,Not Returned,In-Store,197.6,36-45,East,Clothing
10259,07/01/2021 04:48,8,47,6,55.9,Not Returned,In-Store,335.4,,West,Footwear
10260,06/01/2021 11:20,10,21,2,83.42,Not Returned,Online,166.84,56+,East,Clothing
10261,03/01/2021 01:32,12,39,4,25.35,Not Returned,In-Store,101.4,36-45,West,Accessories
10262,01/01/2021 01:27,67,11,3,57.3,Not Returned,Online,171.9,26-35,South,Clothing
1026,11/01/2021 00:53,93,3,1,67.86,Not Returned,Online,67.86,36-45,North,Footwear
10263,06/01/2021 16:28,81,29,3,71.84,Not Returned,Online,215.52,56+,West,Foot wear
10264,07/01/2021 20:43,16,50,3,72.71,Not Returned,Online,218.13,26-35,West,Accessories
10265,10/01/2021 14:24,5,41,4,93.35,Not Returned,In-Store,373.4,56+,West,Accessories
10266,04/01/2021 23:55,17,25,7,74.75,Not Returned,Online,523.25,46-55,South,Clothing
10267,01/01/2021 18:15,80,29,6,41,Not Returned,In-Store,246,46-55,East,Foot wear
10268,07/01/2021 05:23,70,18,5,52.17,Not Returned,Online,260.85,46-55,North,Footwear
10269,09/01/2021 16:41,12,45,2,44.62,Not Returned,Online,89.24,36-45,West,Footwear
10270,06/01/2021 02:44,53,3,5,96.03,Returned,Online,480.15,46-55,East,Footwear
10271,11/01/2021 06:14,16,9,3,78.9,Not Returned,Online,236.7,26-35,West,Foot wear
1027,08/01/2021 18:28,78,23,6,75.2,Not Returned,Online,451.2,46-55,South,Clothing
10272,11/01/2021 05:07,55,45,3,44.39,Not Returned,In-Store,133.17,36-45,East,Footwear
10273,09/01/2021 07:36,70,27,5,50.98,Not Returned,Online,254.9,46-55,North,Footwear
10274,05/01/2021 05:45,25,46,2,97.01,Not Returned,Online,194.02,18-25,East,Clothing
10275,03/01/2021 15:10,50,44,2,95.01,Not Returned,Online,190.02,46-55,South,Accessories
10276,02/01/2021 22:55,81,27,6,98.45,Not Returned,Online,590.7,56+,West,Footwear
10277,09/01/2021 22:58,99,43,7,77.15,Not Returned,Online,540.05,26-35,South,Clothing
10278,10/01/2021 14:01,58,44,7,25.96,Not Returned,In-Store,181.72,26-35,West,Accessories
10279,07/01/2021 22:42,33,49,3,39.88,Not Returned,In-Store,119.64,46-55,East,Footwear
10280,11/01/2021 06:31,60,15,7,63.38,Not Returned,In-Store,443.66,26-35,West,Footwear
1028,11/01/2021 02:34,100,1,3,36.56,Returned,On line,109.68,18-25,West,Accessories
10281,05/01/2021 08:03,37,36,3,38.45,Not Returned,In-Store,115.35,36-45,South,Clothing
10282,11/01/2021 00:04,74,7,1,92.27,Not Returned,In-Store,92.27,26-35,West,Footwear
10284,02/01/2021 09:30,12,6,2,24.65,Not Returned,On line,49.3,36-45,West,Accessories
10285,05/01/2021 04:55,24,50,4,49.59,Not Returned,Online,198.36,18-25,South,Accessories
10286,04/01/2021 00:18,80,14,5,95.22,Not Returned,Online,476.1,46-55,East,Clothing
10287,02/01/2021 12:21,53,13,1,50.08,Not Returned,Online,50.08,46-55,East,Footwear
10288,11/01/2021 01:16,37,5,3,73.22,Not Returned,Online,219.66,36-45,South,Clothing
10289,07/01/2021 03:35,66,46,6,30.5,Not Returned,Online,183,46-55,South,Clothing
10290,06/01/2021 10:05,87,4,4,58.34,Not Returned,Online,233.36,18-25,South,Clothing
10291,06/01/2021 23:40,65,28,1,85.14,Not Returned,In-Store,85.14,26-35,West,Footwear
10292,02/01/2021 04:10,86,6,1,71.3,Not Returned,Online,71.3,18-25,East,Accessories
10293,06/01/2021 12:27,1,36,2,98.83,Returned,In-Store,197.66,46-55,West,Clothing
1029,09/01/2021 01:22,4,40,1,43.65,Not Returned,In-Store,43.65,56+,West,Accessories
10294,06/01/2021 21:50,19,42,4,37.14,Not Returned,In-Store,148.56,18-25,East,Foot wear
10295,01/01/2021 06:49,40,36,5,51.04,Not Returned,Online,255.2,26-35,East,Clothing
10296,09/01/2021 12:38,89,42,4,34.43,Not Returned,In-Store,137.72,46-55,North,Foot wear
10297,06/01/2021 00:16,9,40,2,99.05,Not Returned,In-Store,198.1,36-45,East,Accessories
